[HIGH AIRWAY]
;Airway Database populated by Casey Diers' Sector File Creation tools at http://www.myfsim.com/SectorFileCreation
;=====================================================================================
J41                       MARCI          MARCI          RSW            RSW            
J41                       RSW            RSW            DHP            DHP            
J43                       DHP            DHP            WINCO          WINCO          
J43                       WINCO          WINCO          LBV            LBV            
J43                       LBV            LBV            CHRRI          CHRRI          
J43                       CHRRI          CHRRI          VKZ            VKZ            
J45                       VKZ            VKZ            HEATT          HEATT          
J45                       HEATT          HEATT          BLUFI          BLUFI          
J45                       BLUFI          BLUFI          TOPPR          TOPPR          
J45                       TOPPR          TOPPR          TRV            TRV            
J45                       TRV            TRV            DHP            DHP            
J53                       DHP            DHP            BRIKL          BRIKL          
J53                       BRIKL          BRIKL          HEDLY          HEDLY          
J53                       HEDLY          HEDLY          PHK            PHK            
J53                       PHK            PHK            DHP            DHP            
J55                       DHP            DHP            THNDR          THNDR          
J55                       THNDR          THNDR          LLAKE          LLAKE          
J55                       LLAKE          LLAKE          DHP            DHP            
J73                       DHP            DHP            WINCO          WINCO          
J73                       WINCO          WINCO          LBV            LBV            
J73                       LBV            LBV            CHRRI          CHRRI          
J73                       CHRRI          CHRRI          DHP            DHP            
J75                       DHP            DHP            OHOFO          OHOFO          
J75                       OHOFO          OHOFO          KUBIC          KUBIC          
J75                       KUBIC          KUBIC          RSW            RSW            
J75                       RSW            RSW            DVALL          DVALL          
J79                       DVALL          DVALL          WEVER          WEVER          
J79                       WEVER          WEVER          DHP            DHP            
J79                       DHP            DHP            PBI            PBI            
J79                       PBI            PBI            TRV            TRV            
J79                       TRV            TRV            DHP            DHP            
J81                       DHP            DHP            BRIKL          BRIKL          
J81                       BRIKL          BRIKL          HEDLY          HEDLY          
J81                       HEDLY          HEDLY          PHK            PHK            
J81                       PHK            PHK            DHP            DHP            
J85                       DHP            DHP            THNDR          THNDR          
J85                       THNDR          THNDR          LLAKE          LLAKE          
J85                       LLAKE          LLAKE          VKZ            VKZ            
J113                      VKZ            VKZ            ARKES          ARKES          
J113                      ARKES          ARKES          LLNCH          LLNCH          
J113                      LLNCH          LLNCH          DEARY          DEARY          
J113                      DEARY          DEARY          RSW            RSW            
J614                      RSW            RSW            KUBIC          KUBIC          
J614                      KUBIC          KUBIC          OHOFO          OHOFO          
J614                      OHOFO          OHOFO          DHP            DHP            
J614                      DHP            DHP            CHRRI          CHRRI          
J616                      CHRRI          CHRRI          LBV            LBV            
J616                      LBV            LBV            WINCO          WINCO          
J616                      WINCO          WINCO          DHP            DHP            
J616                      DHP            DHP            KARTR          KARTR          
Q81                       KARTR          KARTR          CHRRI          CHRRI          
