;Navaid Database populated by Casey Diers' Sector File Creation tools at http://www.myfsim.com/SectorFileCreation
;All NDBs within 100 Nautical Miles of PHK NAVAID
FM  341     N026.30.58.066 W081.57.00.971 ;CALOO NDB
FPR 275     N027.29.12.229 W080.22.23.827 ;FORT PIERCE NDB
FX  221     N026.11.06.369 W080.17.54.410 ;PRAIZ NDB
SQT 257     N028.05.58.168 W080.42.02.833 ;SATELLITE NDB
TM  266     N025.38.30.010 W080.30.17.380 ;QEEZY NDB
TN  227     N025.51.42.592 W081.00.40.016 ;MONRY NDB
UTX 405     N026.54.32.307 W080.20.06.175 ;UNITED NDB
VNC 206     N027.03.41.199 W082.25.50.056 ;VENICE NDB
