;Navaid Database populated by Casey Diers' Sector File Creation tools at http://www.myfsim.com/SectorFileCreation
;All VORs within 100 Nautical Miles of PHK NAVAID
CYY 108.60  N026.09.12.322 W081.46.41.166 ;CYPRESS VOR/DME
DHP 113.90  N025.47.59.866 W080.20.56.526 ;DOLPHIN VORTAC
FLL 114.40  N026.04.26.183 W080.09.59.192 ;FORT LAUDERDALE VOR/DME
LBV 110.40  N026.49.41.466 W081.23.29.178 ;LA BELLE VORTAC
MLB 110.00  N028.06.19.016 W080.38.07.224 ;MELBOURNE VOR/DME
PBI 115.70  N026.40.48.198 W080.05.11.359 ;PALM BEACH VORTAC
PGD 110.20  N026.55.00.377 W081.59.28.492 ;PUNTA GORDA VOR
PHK 115.40  N026.46.57.873 W080.41.29.157 ;PAHOKEE VOR/DME
RSW 111.80  N026.31.47.551 W081.46.32.764 ;LEE COUNTY VORTAC
TRV 117.30  N027.40.42.326 W080.29.23.012 ;TREASURE VORTAC
VKZ 117.10  N025.45.06.846 W080.09.15.996 ;VIRGINIA KEY VOR/DME
ZBV 116.70  N025.42.15.000 W079.17.40.000 ;BIMINI VORTAC
